,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,,26,,,27,,,28,,,29,,,30,,,31,,,32,,,33,,,34,,,35,,,36,,,37,,,38,,,39,,,40,,,41,,,42,,,43,,,44,,,45,,,46,,,47,,,48,,,49,,,50,,,51,,,52,,,53,,
17000,588.24,2.7580080000,0.4505086000,-0.0064347000,2.7115020000,0.4474365000,-0.0052277720,3.0208680000,0.4056163000,-0.0053116400,2.8297890000,0.3905531000,-0.0097074800,2.8004700000,0.4624997000,-0.0058023160,3.5081700000,0.3799494000,-0.0048980840,3.0673740000,0.3945171000,-0.0055854160,2.9066250000,0.4755809000,-0.0076136720,2.7024030000,0.5094731000,-0.0054138240,2.7984480000,0.4697340000,-0.0062197280,3.5506320000,0.3690484000,-0.0058399120,3.0067140000,0.4777611000,-0.0051487240,2.5244670000,0.4893558000,-0.0051737880,3.1654410000,0.4450581000,-0.0060327120,3.0137910000,0.4907432000,-0.0077447760,2.8489980000,0.4639862000,-0.0061406800,2.8985370000,0.4144362000,-0.0054417800,2.7893490000,0.4339589000,-0.0060163240,2.8267560000,0.4661664000,-0.0062052680,3.1078140000,0.4443644000,-0.0045028440,3.1401660000,0.4584366000,-0.0038569640,2.6286000000,0.4515987000,-0.0049482120,2.6195010000,0.4514996000,-0.0065176040,2.8318110000,0.4458509000,-0.0050185840,3.1799660000,0.4323696000,-0.0062048800,2.9546220000,0.4472280000,-0.0066172480,3.2866020000,0.4535256000,-0.0052426880,3.0874140000,0.4708440000,-0.0035186800,3.1980740000,0.4829472000,-0.0054788800,3.3620520000,0.4551984000,-0.0040510800,3.1829840000,0.4530336000,-0.0039020080,2.8097580000,0.4744848000,-0.0064459120,2.9898320000,0.4587408000,-0.0048835600,3.3771420000,0.4340424000,-0.0035535280,3.2463620000,0.4755672000,-0.0055824560,2.8932560000,0.4932792000,-0.0068321440,3.3519920000,0.4490976000,-0.0036861440,3.1709120000,0.4471296000,-0.0038206960,2.6699240000,0.4833408000,-0.0052697920,3.3741240000,0.4294176000,-0.0034867360,2.8459740000,0.4786176000,-0.0051555680,3.0572340000,0.4826520000,-0.0054120880,3.2584340000,0.4754688000,-0.0054701680,2.9928500000,0.4453584000,-0.0040181680,3.2604460000,0.4293192000,-0.0046231680,2.7916500000,0.4831440000,-0.0058254240,3.8107280000,0.4463424000,-0.0052301040,2.8379260000,0.4734024000,-0.0072077280,3.3711060000,0.4606104000,-0.0042117680,3.4646640000,0.4615944000,-0.0057208800,3.1638700000,0.4614960000,-0.0050345680,2.7634820000,0.4607088000,-0.0056279520,2.9747420000,0.4252848000,-0.0034364000
16750,597.01,2.9928500000,0.3049698000,-0.0039292800,2.8469800000,0.2990538000,-0.0043593600,3.2644700000,0.2755870000,-0.0041942400,3.0974740000,0.2601068000,-0.0073833600,3.0089460000,0.3115760000,-0.0048902400,3.6376960000,0.2549796000,-0.0036748800,3.1588400000,0.2570502000,-0.0046166400,3.1115580000,0.3207458000,-0.0056755200,2.8107640000,0.3449028000,-0.0047875200,2.9163940000,0.3074348000,-0.0048048000,3.5733120000,0.2444294000,-0.0042720000,3.3751300000,0.3310988000,-0.0029174400,2.7232420000,0.3348456000,-0.0041712000,3.3469620000,0.3006314000,-0.0037660800,3.1276540000,0.3288310000,-0.0060777600,2.9666940000,0.3081250000,-0.0039849600,3.1467680000,0.2853484000,-0.0033830400,2.9767540000,0.2932364000,-0.0042873600,3.0210180000,0.3168018000,-0.0047481600,3.2513920000,0.2972790000,-0.0030508800,3.2554160000,0.3039838000,-0.0026304000,2.9002980000,0.3148298000,-0.0033619200,2.8198180000,0.3070404000,-0.0040185600,3.0340960000,0.3037866000,-0.0038889600,3.3680740000,0.2917522000,-0.0042717220,3.0932520000,0.2973496000,-0.0048762200,3.3861280000,0.3049110000,-0.0035263980,3.1363810000,0.3107048000,-0.0029889600,3.3730890000,0.3336836000,-0.0039718680,3.5024760000,0.3078570000,-0.0028318480,3.4703800000,0.3177752000,-0.0026862320,2.9006760000,0.3154184000,-0.0039757000,3.1765010000,0.3164986000,-0.0032533680,3.4232390000,0.2894936000,-0.0024342780,3.4192270000,0.3290682000,-0.0037544020,2.9889400000,0.3351566000,-0.0050007600,3.4011730000,0.2990190000,-0.0032054680,3.1895400000,0.2874314000,-0.0035187340,2.9006760000,0.3336836000,-0.0037132080,3.5285540000,0.2946000000,-0.0019370760,2.8735950000,0.3090354000,-0.0037524860,3.2266510000,0.3418342000,-0.0037362000,3.4102000000,0.3273988000,-0.0040427600,3.1203330000,0.3036344000,-0.0027197620,3.3048850000,0.2818340000,-0.0036183660,2.9357810000,0.3266132000,-0.0039594140,3.8114000000,0.2949928000,-0.0037409900,2.9628620000,0.3140436000,-0.0051099720,3.5476110000,0.3216050000,-0.0031470300,3.3791070000,0.2957784000,-0.0042286120,3.1484170000,0.3022596000,-0.0033913200,2.8104060000,0.3006884000,-0.0041050300,2.9448080000,0.2815394000,-0.0024812200
16500,606.06,2.8959840000,0.1802408000,-0.0025820080,2.7891360000,0.1761982000,-0.0030822480,3.2215680000,0.1595348000,-0.0026733980,2.9443680000,0.1468154000,-0.0050966760,2.9352960000,0.1831002000,-0.0037181300,3.4201440000,0.1489846000,-0.0025964380,3.0159360000,0.1508580000,-0.0031053360,3.0602880000,0.1878330000,-0.0036738780,2.7316800000,0.2086376000,-0.0039913380,2.9846880000,0.1875372000,-0.0025887420,3.3465600000,0.1399134000,-0.0032823440,3.1812480000,0.1864526000,-0.0023261160,2.7135360000,0.2035104000,-0.0025098580,3.3072480000,0.1761982000,-0.0027253460,3.0814560000,0.1896078000,-0.0046887880,3.0229920000,0.1906924000,-0.0023434320,2.9494080000,0.1595348000,-0.0031467020,2.9040480000,0.1712682000,-0.0032015360,2.9635200000,0.1824100000,-0.0032217380,3.3213600000,0.1782688000,-0.0028186600,3.1540320000,0.1745220000,-0.0014776320,2.7619200000,0.1813254000,-0.0024617580,2.8314720000,0.1792548000,-0.0036459800,2.9574720000,0.1768884000,-0.0025002380,3.2700000000,0.1654670000,-0.0035150610,3.0900000000,0.1761708000,-0.0045591480,3.2120000000,0.1766618000,-0.0024039840,3.0060000000,0.1862854000,-0.0014642100,3.1330000000,0.1903116000,-0.0025389210,3.3590000000,0.1801970000,-0.0017283420,3.0430000000,0.1795096000,-0.0018479670,2.9710000000,0.1940432000,-0.0023523060,2.9170000000,0.1797060000,-0.0021025290,3.2630000000,0.1692968000,-0.0014709090,3.1880000000,0.1876602000,-0.0022680900,2.9020000000,0.1971856000,-0.0030059370,3.2940000000,0.1813754000,-0.0013646820,3.0690000000,0.1713590000,-0.0023178540,2.8260000000,0.1964982000,-0.0023312520,3.2570000000,0.1674310000,-0.0014862210,3.0070000000,0.1943378000,-0.0028174080,3.1700000000,0.2002298000,-0.0023101980,3.4070000000,0.2040596000,-0.0020996580,2.9980000000,0.1794114000,-0.0016001040,3.1480000000,0.1647796000,-0.0020211840,2.8960000000,0.1946324000,-0.0025695450,3.6840000000,0.1699842000,-0.0021723900,3.0110000000,0.1918828000,-0.0030155070,3.3040000000,0.1885440000,-0.0017647080,3.3710000000,0.1772510000,-0.0022728750,3.1290000000,0.1825538000,-0.0021819600,2.9350000000,0.1851070000,-0.0024786300,2.9610000000,0.1629138000,-0.0023781450
16250,615.38,2.6132160000,0.0916500000,-0.0024227820,2.4408720000,0.0905482500,-0.0019821020,2.7555000000,0.0793260000,-0.0012904260,2.6182260000,0.0767032500,-0.0025185820,2.6432760000,0.0942630000,-0.0025281620,2.9769420000,0.0732127500,-0.0017358960,2.7124140000,0.0765277500,-0.0021880720,2.6673240000,0.0950332500,-0.0021258020,2.4879660000,0.1082250000,-0.0018824700,2.6242380000,0.0994500000,-0.0007264514,2.8787460000,0.0697710000,-0.0019811440,2.8697280000,0.1004250000,-0.0005068778,2.4929760000,0.1086150000,-0.0015050180,2.9007900000,0.0892515000,-0.0014437060,2.6973840000,0.0979875000,-0.0024007480,2.5571040000,0.0950625000,-0.0011601380,2.6502900000,0.0781072500,-0.0023767980,2.6082060000,0.0867262500,-0.0017224840,2.6573040000,0.0938535000,-0.0018633100,2.9027940000,0.0874380000,-0.0019054620,2.8396680000,0.0893782500,-0.0009762020,2.5551000000,0.0964177500,-0.0008062528,2.5029960000,0.0923520000,-0.0014762780,2.5661220000,0.0885202500,-0.0017608040,2.8502880000,0.0846850200,-0.0021783550,2.6955980000,0.0910420200,-0.0023617150,2.8293300000,0.0897804000,-0.0012118950,2.6566760000,0.0939564600,-0.0008328555,2.8063760000,0.1019076000,-0.0012395900,2.8562760000,0.0895848000,-0.0008663760,2.7165560000,0.0931447200,-0.0010762850,2.5957980000,0.0956092800,-0.0013799750,2.6806280000,0.0945139200,-0.0010533650,2.8433020000,0.0857119200,-0.0007729770,2.8263360000,0.0978978000,-0.0010514550,2.5758380000,0.1024944000,-0.0017094500,2.7624640000,0.0879711000,-0.0011975700,2.7464960000,0.0875994600,-0.0011259450,2.5279340000,0.1010274000,-0.0009941550,2.8203480000,0.0843231600,-0.0008600730,2.5578740000,0.0923036400,-0.0016206350,2.5948000000,0.0997560000,-0.0012128500,2.8502880000,0.0971936400,-0.0010705550,2.6576740000,0.0904161000,-0.0017495600,2.7445000000,0.0831006600,-0.0012118950,2.5458980000,0.0970762800,-0.0013761550,3.0518840000,0.0860835600,-0.0011889750,2.6377140000,0.0962547600,-0.0017295050,2.7704480000,0.0918537600,-0.0010772400,2.7754380000,0.0902889600,-0.0015108100,2.6367160000,0.0894870000,-0.0014095800,2.5598700000,0.0939955800,-0.0013723350,2.6197500000,0.0843720600,-0.0009209065
16000,625.00,2.1221200000,0.0375544400,-0.0013030280,2.0460440000,0.0376817100,-0.0011194760,2.1881860000,0.0311419900,-0.0009037068,2.1471450000,0.0308482900,-0.0017074160,2.1551530000,0.0390327300,-0.0015965200,2.3053030000,0.0293993700,-0.0009951960,2.1371350000,0.0302217300,-0.0015181280,2.2232210000,0.0382984800,-0.0011462440,2.1201180000,0.0468255700,-0.0015171720,2.1081060000,0.0389837800,-0.0010171840,2.2732710000,0.0292133600,-0.0011758800,2.2332310000,0.0342845800,-0.0006627948,2.0800780000,0.0438689900,-0.0010343920,2.2492470000,0.0341083600,-0.0010745440,2.1511490000,0.0382103700,-0.0014884920,2.1391370000,0.0400019400,-0.0006233120,2.1091070000,0.0315727500,-0.0012906000,2.0770750000,0.0349503000,-0.0013938480,2.1441420000,0.0387390300,-0.0009248344,2.2472450000,0.0355083300,-0.0007505556,2.3663640000,0.0373586400,-0.0009732080,2.0570550000,0.0381614200,-0.0013833320,2.1071050000,0.0362327900,-0.0013011160,2.1201180000,0.0346859700,-0.0012093400,2.2263010000,0.0311680000,-0.0017963240,2.1754540000,0.0350250400,-0.0018890560,2.1973880000,0.0363983800,-0.0005305800,2.1565110000,0.0392716800,-0.0002338376,2.1575080000,0.0395249200,-0.0006898496,2.2163310000,0.0348497200,-0.0003462632,2.1315860000,0.0361061800,-0.0004987452,2.1216160000,0.0410638400,-0.0003701632,2.0657840000,0.0378983400,-0.0007337300,2.2272980000,0.0342555800,-0.0003930116,2.2153340000,0.0388431200,-0.0004613656,2.0757540000,0.0409567000,-0.0008746444,2.2133400000,0.0385217000,-0.0002718864,2.1146370000,0.0342263600,-0.0007292368,2.0657840000,0.0405476200,-0.0005993164,2.2063610000,0.0338075400,-0.0004542912,2.1535200000,0.0380541800,-0.0008471116,2.0707690000,0.0403333400,-0.0006203484,2.2841270000,0.0411515000,-0.0002323080,2.1266010000,0.0378204200,-0.0004084032,2.1794420000,0.0353659400,-0.0005459716,2.0747570000,0.0396125800,-0.0007646088,2.2751540000,0.0351808800,-0.0004030496,2.1644870000,0.0403917800,-0.0007443416,2.1654840000,0.0409274800,-0.0005345952,2.2113460000,0.0349958200,-0.0004670060,2.1684750000,0.0393690800,-0.0004465476,2.0976880000,0.0406352800,-0.0006383212,2.4157310000,0.0415703200,0.0000093975
15500,645.16,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000
15000,666.67,0.2995002000,-0.0017828500,0.0001694702,0.3098898000,-0.0021010050,0.0000621359,0.2994003000,-0.0014026400,0.0000639752,0.2995002000,-0.0012736050,0.0002596180,0.3082914000,-0.0016942000,-0.0000383392,0.2966031000,-0.0014065800,0.0000750210,0.2851146000,-0.0012637550,0.0000714668,0.2943054000,-0.0018852900,0.0000495861,0.3067929000,-0.0024654550,0.0000891706,0.3155841000,-0.0018557400,0.0001155348,0.2880117000,-0.0011435850,0.0000623371,0.2899098000,-0.0017336000,0.0000942097,0.3053943000,-0.0023965050,0.0000555257,0.2821176000,-0.0018035350,-0.0000198593,0.2954043000,-0.0020222050,0.0000739193,0.3096900000,-0.0021335100,0.0000593289,0.3011985000,-0.0016932150,0.0000877624,0.2920077000,-0.0018912000,0.0000483790,0.3095901000,-0.0021138100,0.0000474018,0.2865132000,-0.0016981400,0.0000420083,0.2917080000,-0.0018370250,0.0000403893,0.2990007000,-0.0015474350,0.0000469324,0.3087909000,-0.0017148850,0.0000838537,0.3024972000,-0.0022871700,0.0000008143,0.2860833000,-0.0015530640,0.0000460114,0.2954175000,-0.0018278820,0.0000172388,0.2825085000,-0.0017036760,0.0000400489,0.2879700000,-0.0018415740,0.0000241553,0.2724792000,-0.0017760480,0.0000075271,0.2837994000,-0.0016381500,0.0000252715,0.2845938000,-0.0018533100,0.0000521456,0.2960133000,-0.0020401080,0.0000703289,0.2892609000,-0.0019921860,0.0000239263,0.2880693000,-0.0017486640,0.0000275706,0.2891616000,-0.0017486640,0.0000699664,0.2993895000,-0.0023266620,0.0000231059,0.3111069000,-0.0023423100,0.0000019175,0.2921406000,-0.0017359500,0.0000348782,0.3021699000,-0.0023022120,0.0000373586,0.2938287000,-0.0016498860,0.0000340864,0.2936301000,-0.0023012340,0.0000032627,0.2960133000,-0.0022806960,0.0000281335,0.2906511000,-0.0019667580,0.0000682015,0.3000846000,-0.0017995200,0.0000450002,0.2862819000,-0.0016225020,0.0000460305,0.2996874000,-0.0020626020,0.0000588046,0.2926371000,-0.0018141900,0.0000154357,0.3107097000,-0.0019423080,0.0000947227,0.2913462000,-0.0016547760,0.0000377021,0.2934315000,-0.0018112560,0.0000687071,0.2881686000,-0.0017222580,0.0000362997,0.2949210000,-0.0019031880,0.0000358132,0.3177600000,-0.0017965860,0.0000264449
14500,689.66,0.0606353000,-0.0004642092,0.0000353037,0.0623268000,-0.0005205186,0.0000187668,0.0613915000,-0.0003477645,0.0000268439,0.0609835500,-0.0003698370,0.0000476873,0.0610134000,-0.0004308552,0.0000007369,0.0570533000,-0.0003465873,0.0000187668,0.0580781500,-0.0003571821,0.0000164317,0.0600283500,-0.0004700952,0.0000202406,0.0622770500,-0.0006441246,0.0000247767,0.0612820500,-0.0004696047,0.0000320786,0.0568443500,-0.0002900817,0.0000162690,0.0583169500,-0.0004510638,0.0000223651,0.0632919500,-0.0006251913,0.0000197046,0.0568642500,-0.0004180041,0.0000105557,0.0614810500,-0.0005308191,0.0000250734,0.0605557000,-0.0004926582,0.0000206234,0.0590831000,-0.0004031910,0.0000276669,0.0616701000,-0.0004853007,0.0000169293,0.0642770000,-0.0005497524,0.0000152642,0.0578990500,-0.0004429215,0.0000058377,0.0576403500,-0.0004432158,0.0000151015,0.0621974500,-0.0004215357,0.0000236570,0.0636601000,-0.0004750002,0.0000142593,0.0622173500,-0.0005220882,0.0000150728,0.0573872000,-0.0003926194,0.0000104054,0.0604723200,-0.0004835910,0.0000182974,0.0578832000,-0.0004427804,0.0000134232,0.0622579200,-0.0004903116,0.0000086918,0.0582006400,-0.0005363818,0.0000167171,0.0579427200,-0.0004480400,0.0000084442,0.0580617600,-0.0004693706,0.0000089678,0.0583792000,-0.0004782340,0.0000301594,0.0631308800,-0.0005266418,0.0000131757,0.0581212800,-0.0004521308,0.0000055787,0.0583593600,-0.0004768704,0.0000112336,0.0620000000,-0.0005599526,0.0000175644,0.0610278400,-0.0005673550,0.0000103387,0.0552643200,-0.0004513516,0.0000014470,0.0615238400,-0.0005364792,0.0000225243,0.0597184000,-0.0004278782,0.0000080920,0.0587561600,-0.0005367714,0.0000037509,0.0597878400,-0.0005489464,0.0000187354,0.0553040000,-0.0004631370,0.0000221054,0.0613750400,-0.0004664486,0.0000159555,0.0605120000,-0.0004682018,0.0000145942,0.0612064000,-0.0005488490,0.0000174692,0.0563753600,-0.0004118072,0.0000128996,0.0639641600,-0.0005356026,0.0000256374,0.0567027200,-0.0004364494,0.0000148893,0.0584585600,-0.0004828118,0.0000157080,0.0591033600,-0.0004645980,0.0000128234,0.0625654400,-0.0005281028,0.0000132709,0.0647875200,-0.0004836884,0.0000085299
14000,714.29,0.0097095540,-0.0000693841,0.0000060897,0.0099697200,-0.0000830320,0.0000028298,0.0098277210,-0.0000570651,0.0000026099,0.0096559320,-0.0000578605,0.0000072082,0.0097711200,-0.0000660473,0.0000015392,0.0095059890,-0.0000632440,0.0000018068,0.0092607180,-0.0000584425,0.0000025334,0.0094205910,-0.0000716054,0.0000027915,0.0098604900,-0.0000960009,0.0000048469,0.0101981100,-0.0000881730,0.0000007170,0.0093868290,-0.0000491693,0.0000054683,0.0094464090,-0.0000817419,0.0000059846,0.0103073400,-0.0001027230,0.0000030401,0.0089707620,-0.0000672695,0.0000007361,0.0101683200,-0.0000905883,0.0000046940,0.0098763780,-0.0000762517,0.0000059559,0.0092239770,-0.0000623225,0.0000070075,0.0100193700,-0.0000715375,0.0000056022,0.0106350300,-0.0000879305,0.0000035659,0.0094722270,-0.0000706548,0.0000033842,0.0094950660,-0.0000657466,0.0000067780,0.0103967100,-0.0000617405,0.0000077245,0.0100094400,-0.0000703541,0.0000057073,0.0098833290,-0.0000787543,0.0000039578,0.0090963890,-0.0000598408,0.0000029798,0.0099080180,-0.0000823847,0.0000046362,0.0093728780,-0.0000695382,0.0000023514,0.0102271200,-0.0000732073,0.0000025990,0.0090359380,-0.0000748540,0.0000032178,0.0093966620,-0.0000698657,0.0000015042,0.0095195460,-0.0000762792,0.0000003998,0.0096454030,-0.0000805357,0.0000027227,0.0099991900,-0.0000800157,0.0000021039,0.0095274740,-0.0000698945,0.0000016660,0.0093193640,-0.0000723309,0.0000025133,0.0098277470,-0.0000870745,0.0000046553,0.0101973900,-0.0000911672,0.0000021134,0.0090636860,-0.0000693745,0.0000006664,0.0099496400,-0.0000905509,0.0000018374,0.0097950440,-0.0000640202,0.0000052074,0.0096236010,-0.0000834632,0.0000012471,0.0106532500,-0.0000947303,0.0000035129,0.0089863880,-0.0000734384,0.0000040365,0.0097098180,-0.0000717628,0.0000032273,0.0097187370,-0.0000685078,0.0000021134,0.0099991900,-0.0000857744,0.0000025894,0.0092172910,-0.0000676411,0.0000024752,0.0103559500,-0.0000884323,0.0000046553,0.0091895430,-0.0000662833,0.0000041126,0.0097910800,-0.0000836077,0.0000030178,0.0097108090,-0.0000741799,0.0000046077,0.0100091000,-0.0000828276,0.0000043506,0.0108910900,-0.0000830395,0.0000032654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
